job title,company name,location,skills,detail link,salary
Senior Data Engineer,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020940404.html,
Econometrics Instructor,Alignerr,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938975.html,
3D Modeling & Python Specialist - Freelance AI Trainer Project,"Meridial Marketplace, by Invisible","Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938977.html,
Staff Machine Learning Engineer,Agoda,"Egypt                                    , Al Jizah",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020938688.html,
Senior Data Analyst,Bosta,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936583.html,
"Staff Machine Learning Engineer (India based, relocation provided)",Agoda,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936327.html,
"Technical Instructor,,2",AMIT Learning,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936396.html,
Programming Teacher for Children,Algorithmics Alexandria - Raml,"Egypt                                    , Cairo",Part Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936518.html,
Senior Growth Analyst,Klivvr,"Egypt                                    , Cairo",Business Intelligence & Data Analytics,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936186.html,
Senior Data Analyst Bosta,Bosta,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937135.html,
Application Security Engineer Instabug,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937250.html,
INTEGRATED STRESS TESTING & RISK ASSESSMENTS OFFICER / SENIOR OFFICER,Cibeg,Egypt,Experience Verification,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936168.html,
Senior Data Engineer (ML/AI)  Sana Commerce,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937274.html,
مدرس / منتور برمجة,Aston,"Egypt                                    , Kafr ash Shaykh",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936502.html,
"Data Scientist, Global Strategy & Planning",Uber Technologies,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937747.html,
SDN Technical Support Specialist - VOIS,Vodafone - Egypt,"Egypt                                    , Cairo",Network Operations and Architecture,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936061.html,
Senior Growth Analyst,Klivvr,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936552.html,
Senior MLOps Engineer - Remote - Robusta,Robusta Studio,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936585.html,
Senior BIM Engineer,Estithmar Holding,"Egypt                                    , Cairo",4 to 6 years,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937931.html,
Senior Software Tester,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020937253.html,
Technical Consultant - Python,Alfanar Projects,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020936371.html,
Robotics Software Engineer (Remote),Quik Hire Staffing,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935216.html,
Data Analyst (Remote),AI Jobs,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935243.html,
Senior Machine Learning Engineer (Remote),Jobs Ai,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935258.html,
SecOps Engineer,Sourced,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935280.html,
Senior Cloud Security Engineer (Remote),OnBoard,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935314.html,
Software Engineer (Robotics) (Remote),Quik Hire Staffing,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935279.html,
Full Stack Engineer,Hire Feed,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935336.html,
ServiceNow Developer | Telecommunications & Technology,Premier Services and Recruitment,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935350.html,
Software Engineer (Remote),AI Jobs,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935242.html,
Site Reliability Engineer,Joblet-AI,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935331.html,
QA Engineer M/F (Microsoft Dynamics 365),Remote People,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935057.html,
Software QA Engineer,Hired,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935295.html,
Backend Engineer,Hired,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020935221.html,
Full Stack Developer,Deloitte & Touche (M.E.),"Egypt                                    , Egypt",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020934323.html,
AI & Automation Developer (Python),Injaz Digital,"Egypt                                    , Cairo",Experienced,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020934777.html,
"Lead Auditor - Finance, Treasury & Financial Risk",Tabby,"Egypt                                    , Cairo",Auditing and Assurance,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020934444.html,
AI And Data Engineer,Deloitte & Touche (M.E.),"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020934324.html,
Lead Auditor - Financial Crime & Compliance,Tabby,"Egypt                                    , Cairo",Auditing and Assurance,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020934441.html,
IT Project Manager,Procter & Gamble,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933616.html,
Senior Data Analyst,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933732.html,
Enterprise Network Engineer ServerHub,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933717.html,
Senior Full-Stack Developer,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933864.html,
Backend Developer Nat Solutions,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933767.html,
Senior Data Scientist,,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020933385.html,
Sales Engineer  Spidersilk,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933762.html,
GUC Employment Fair Banque Misr Digital Transformation,,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020933769.html,
IoT Systems & Integration Engineer,Flatgigs,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931275.html,
Lead Auditor - Financial Crime & Compliance,Tabby,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932360.html,
Senior Testing Engineer (Appium),Vodafone - Egypt,"Egypt                                    , Cairo",Software Testing,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020930681.html,
"Lead Auditor - Finance, Treasury & Financial Risk",Tabby,Egypt,Auditing and Assurance,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931424.html,
"Lead Auditor - Finance, Treasury & Financial Risk  tabby",Tabby,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932421.html,
Senior Testing Engineer,Vodafone,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932223.html,
Founding AI Engineer (LLM / Platform),Biblioso,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931208.html,
AI Specialist,,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931180.html,
Senior Data Scientist,Sana Commerce,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932443.html,
Senior Data Scientist,Easygenerator,"Egypt                                    , Alexandria",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932429.html,
Senior Software Engineer,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020932437.html,
Product Architect,Siemens,Egypt,Integration Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020930731.html,
AI Specialist,,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931158.html,
Lead Auditor - Financial Crime & Compliance,Tabby,Egypt,Auditing and Assurance,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020931382.html,
Product Operations Manager - Analytics and Promotions,Mastercard,Egypt,Marketing,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020928248.html,
AI Automation Engineer,CoreAgentX,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928475.html,
Sr. DevOps Engineer - VOIS,Vodafone - Egypt,"Egypt                                    , Cairo",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928214.html,
English-Speaking Programming Instructor - Part-time,iSchool Limited,Egypt,Education/Training,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928838.html,
Azure Data Engineer / Developer,oscar,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928540.html,
Assistant Manager Supply Chain,Americana Restaurants,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928380.html,
Senior SCADA Engineer - Digital Solutions,Weatherford International Oil Field Services,"Egypt                                    , Cairo",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020930420.html,
Senior MLOps Engineer,mylo,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928541.html,
Aveva PI Software Engineer,Müller's Solutions,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928577.html,
Product Operations Manager - Analytics and Promotions MasterCard,Mastercard,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020930207.html,
AI Team Lead,Andalusia Business Solutions,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928375.html,
ML & Data Analytics Sr. Specialist,Vodafone - Egypt,"Egypt                                    , Cairo",Arabic AI & NLP Engineering,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928260.html,
AI Evaluation Engineer (Agentic Coding / Software Engineering),Gramian Consulting,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928539.html,
"Senior AI/ML Engineer (LLM, GenAI, and Agentic Systems)",Astro Sirens LLC,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020928558.html,
"Admin Support, Direct Imports",Souq.com for E-Commerce LLC - G32,"Egypt                                    , Cairo",Operations Governance & Analytics,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020928255.html,
Curriculum Developer  KodeKloud,,"Egypt                                    , Egypt",Not Mentioned,https://egypt.tanqeeb.com/jobs-in-egypt/all/jobs/020930213.html,
Senior Frontend Engineer,Brightskies,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927143.html,
DATA & ARTIFICIAL INTELLIGENCE SPECIALIST,"Hill International, Inc.","Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927149.html,
AI Evaluation Engineer - Planning & Operations,Gramian Consulting,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927167.html,
Engineering Design Specialist - 72123,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927202.html,
Electrical Engineering Pod Lead - 72132,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927200.html,
Linux Systems Engineer Intern,ServerHub,"Egypt                                    , Cairo",Internship,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927211.html,
Computational Designer (Architect / Mechanical Engineer),DAR,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020926925.html,
Senior SCADA Engineer - Digital Solutions,Weatherford,"Egypt                                    , Cairo",Network Operations and Architecture,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020926707.html,
Quantitative Developer,Millennium Management LLC,"Egypt                                    , Alexandria",Cost Planning (Residential Development),https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927443.html,
PAM Engineer,Accenture,"Egypt                                    , Cairo",Information Technology,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020926550.html,
AI Evaluation Engineer (Data Analysis & Multi-Agent Systems),Gramian Consulting,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927209.html,
Analytics / Reporting Specialist,Feur Media House,"Egypt                                    , Al Jizah",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927154.html,
Systems Engineer,PartnerOne,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927170.html,
Remote ML Engineer - 60735,Turing,"Egypt                                    , Cairo",Contract,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020927195.html,
Full Stack Engineer,Confidentiall,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020925159.html,
DC Physical Sessions #2,iSchool,"Egypt                                    , Asyut",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020925369.html,
"???????????????????????????????? ???????????????????????????????????? ,???????????????????????????????????????????????? ???????????????????????????????? (???????????????????????????????????????????? & ????????????????????????????????????????)",ESLSCA University,"Egypt                                    , Cairo",Full Time,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020925283.html,
Senior Optical Automation Engineer,Vodafone - Egypt,"Egypt                                    , Cairo",Software Testing,https://egypt.tanqeeb.com/jobs-in-middle-east/all/jobs/020924943.html,
